ledger_id,outcome_bucket,resolving_tier,matched_gateway_id,matched_bank_id,confidence,rationale,provider,model,timestamp
LDG000114,full_match,tier1_exact,GTW000120,BNK000115,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000105,full_match,tier1_exact,GTW000110,BNK000106,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000110,full_match,tier1_exact,GTW000115,BNK000111,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000115,full_match,tier1_exact,GTW000121,BNK000116,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000027,full_match,tier1_exact,GTW000028,BNK000028,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000090,full_match,tier1_exact,GTW000094,BNK000091,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000099,full_match,tier1_exact,GTW000104,BNK000100,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000123,full_match,tier1_exact,GTW000137,BNK000124,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000064,full_match,tier1_exact,GTW000069,BNK000065,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000015,full_match,tier1_exact,GTW000016,BNK000016,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000004,full_match,tier1_exact,GTW000003,BNK000004,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000033,full_match,tier1_exact,GTW000036,BNK000034,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000104,full_match,tier1_exact,GTW000109,BNK000105,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000093,full_match,tier1_exact,GTW000098,BNK000094,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000046,full_match,tier1_exact,GTW000047,BNK000047,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000019,full_match,tier1_exact,GTW000019,BNK000020,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000102,full_match,tier1_exact,GTW000107,BNK000103,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000008,full_match,tier1_exact,GTW000008,BNK000008,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000129,full_match,tier1_exact,GTW000144,BNK000129,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000043,full_match,tier1_exact,GTW000044,BNK000044,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000012,full_match,tier1_exact,GTW000012,BNK000013,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000109,full_match,tier1_exact,GTW000114,BNK000110,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000051,full_match,tier1_exact,GTW000053,BNK000052,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000083,full_match,tier1_exact,GTW000086,BNK000084,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000100,full_match,tier1_exact,GTW000105,BNK000101,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000053,full_match,tier1_exact,GTW000055,BNK000054,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
LDG000120,full_match,tier1_exact,GTW000131,BNK000121,1.0,raw txn_id + amount + date identical across all three sources,n/a,n/a,2026-08-31T11:14:56.715681+00:00
